tweet,created_at,lang
"RT @lordivan22: @sefazgostoso A atual crise de governo no Canadá se dá por vários motivos, entre eles a baixa popularidade de Trudeau, a cr…",2025-01-02 23:02:07+00:00,pt
"RT @Acyn: Jessica: But when you say I'm embarrassed watching Biden, I'm not embarrassed seeing someone stand up there and say let's wait fo…",2025-01-02 23:02:06+00:00,en
"RT @WallStreetApes: They ALWAYS know

Pakistan National flys to Iran, then flys into Texas, he is on THE TERROR WATCHLIST, he then gets int…",2025-01-02 23:02:06+00:00,en
@TrumpPatriots47 Biggest homework for Sir Donald Trump. It’s going to be tough to get into so many snake holes and expose 🇺🇸@TrumpPatriots47 https://t.co/vxSqJQdWks,2025-01-02 23:02:06+00:00,en
RT @eduardomenoni: 🚨 | ÚLTIMA HORA: EL GOBERNADOR DE LUISIANA LANDRY: “La única manera de proteger realmente a la gente del mal es aplastar…,2025-01-02 23:02:05+00:00,es
RT @bennyjohnson: 🚨 BREAKING: Donald Trump releases new statement https://t.co/r7rpOV9FrB,2025-01-02 23:02:05+00:00,en
RT @RedKnight277: 2 American veterans are radicalized to commit acts of terror on the same day. Got vehicles from the same company. Both se…,2025-01-02 23:02:04+00:00,en
"RT @Vltra_MK: 🚨 A MUCH BIGGER DEAL than most realize... 🚨

Crossfire Hurricane documents signed off by the FBI's CounterIntelligence divisi…",2025-01-02 23:02:04+00:00,en
"RT @MadeInTheUSANJ: On May 12, 2023, as a private citizen, while campaigning to become our President, a Manhattan jury, consisting of nine…",2025-01-02 23:02:03+00:00,en
RT @laralogan: Jack Smith is running for his life.This case was always outside his jurisdiction. Now it looks like they are preparing to pr…,2025-01-02 23:02:02+00:00,en
RT @JewsAreTheGOAT: 🚨BREAKING: Prominent MAGA influencers and U.S. senators are calling on President Donald Trump to impose severe sanction…,2025-01-02 23:02:01+00:00,en
"政治腦崩潰阿姨發地震文、颱風文、奧運文、台灣日本棒球文騙讚的時候
記得也要來繼續偷看個版
這樣才可以繼續崩潰到腦補又片面的發廢話造謠喔www
雷包老害www

Donald Trump/Elon Musk https://t.co/kuPFpWjczG",2025-01-02 23:02:01+00:00,zh
